ïgeographicidentifiercode,id2,geographicareaname,naicscode,meaningof2007naicscode,year,numberofestablishments,receipts1000,v9
0500000US09001,9001,"Fairfield County, Connecticut",0,Total for all sectors,2012,87297,6214172,0.04234882
0500000US09003,9003,"Hartford County, Connecticut",0,Total for all sectors,2012,55974,3017928,0.024506244
0500000US09005,9005,"Litchfield County, Connecticut",0,Total for all sectors,2012,17004,933969,0.026367757
0500000US09007,9007,"Middlesex County, Connecticut",0,Total for all sectors,2012,13260,727186,0.024222945
0500000US09009,9009,"New Haven County, Connecticut",0,Total for all sectors,2012,56601,2985719,0.041379005
0500000US09011,9011,"New London County, Connecticut",0,Total for all sectors,2012,15880,749520,0.010132048
0500000US09013,9013,"Tolland County, Connecticut",0,Total for all sectors,2012,9338,442995,0.030798657
0500000US09015,9015,"Windham County, Connecticut",0,Total for all sectors,2012,6568,289367,0.026910683
0500000US23001,23001,"Androscoggin County, Maine",0,Total for all sectors,2012,6136,271674,0.013742999
0500000US23003,23003,"Aroostook County, Maine",0,Total for all sectors,2012,4237,170086,-0.004931872
0500000US23005,23005,"Cumberland County, Maine",0,Total for all sectors,2012,25867,1254634,-0.042019142
0500000US23007,23007,"Franklin County, Maine",0,Total for all sectors,2012,2425,83741,-0.004458129
0500000US23009,23009,"Hancock County, Maine",0,Total for all sectors,2012,7448,308555,0.03683206
0500000US23011,23011,"Kennebec County, Maine",0,Total for all sectors,2012,8266,302630,-0.012104277
0500000US23013,23013,"Knox County, Maine",0,Total for all sectors,2012,5716,259865,-0.008167783
0500000US23015,23015,"Lincoln County, Maine",0,Total for all sectors,2012,4729,179254,0.063468521
0500000US23017,23017,"Oxford County, Maine",0,Total for all sectors,2012,4320,161452,0.064375985
0500000US23019,23019,"Penobscot County, Maine",0,Total for all sectors,2012,9307,340392,0.004879863
0500000US23021,23021,"Piscataquis County, Maine",0,Total for all sectors,2012,1254,40500,-0.036219123
0500000US23023,23023,"Sagadahoc County, Maine",0,Total for all sectors,2012,3167,119586,0.034856955
0500000US23025,23025,"Somerset County, Maine",0,Total for all sectors,2012,3384,116835,0.010788317
0500000US23027,23027,"Waldo County, Maine",0,Total for all sectors,2012,3788,127309,-0.002108514
0500000US23029,23029,"Washington County, Maine",0,Total for all sectors,2012,3762,149708,0.030415241
0500000US23031,23031,"York County, Maine",0,Total for all sectors,2012,16311,707189,0.034511562
0500000US25001,25001,"Barnstable County, Massachusetts",0,Total for all sectors,2012,25021,1241434,0.024579665
0500000US25003,25003,"Berkshire County, Massachusetts",0,Total for all sectors,2012,10076,421193,-0.016053637
0500000US25005,25005,"Bristol County, Massachusetts",0,Total for all sectors,2012,30501,1439079,0.016050457
0500000US25007,25007,"Dukes County, Massachusetts",0,Total for all sectors,2012,3598,194228,0.06688199
0500000US25009,25009,"Essex County, Massachusetts",0,Total for all sectors,2012,56528,2853855,0.02904551
0500000US25011,25011,"Franklin County, Massachusetts",0,Total for all sectors,2012,6103,216931,0.024598178
0500000US25013,25013,"Hampden County, Massachusetts",0,Total for all sectors,2012,23337,1126351,0.014009861
0500000US25015,25015,"Hampshire County, Massachusetts",0,Total for all sectors,2012,12687,531614,0.050473155
0500000US25017,25017,"Middlesex County, Massachusetts",0,Total for all sectors,2012,124404,6786410,0.036415289
0500000US25019,25019,"Nantucket County, Massachusetts",0,Total for all sectors,2012,2215,165239,0.108592246
0500000US25021,25021,"Norfolk County, Massachusetts",0,Total for all sectors,2012,53228,3228180,0.023501817
0500000US25023,25023,"Plymouth County, Massachusetts",0,Total for all sectors,2012,35082,1814674,0.025098814
0500000US25025,25025,"Suffolk County, Massachusetts",0,Total for all sectors,2012,48049,2773500,0.052246595
0500000US25027,25027,"Worcester County, Massachusetts",0,Total for all sectors,2012,49581,2305128,0.006069689
0500000US33001,33001,"Belknap County, New Hampshire",0,Total for all sectors,2012,5586,285953,0.035198928
0500000US33003,33003,"Carroll County, New Hampshire",0,Total for all sectors,2012,5468,279106,-0.011258166
0500000US33005,33005,"Cheshire County, New Hampshire",0,Total for all sectors,2012,5898,281372,0.0584739
0500000US33007,33007,"Coos County, New Hampshire",0,Total for all sectors,2012,2377,91554,-0.058444831
0500000US33009,33009,"Grafton County, New Hampshire",0,Total for all sectors,2012,7960,417323,0.036484839
0500000US33011,33011,"Hillsborough County, New Hampshire",0,Total for all sectors,2012,27519,1492804,0.029385825
0500000US33013,33013,"Merrimack County, New Hampshire",0,Total for all sectors,2012,10935,531165,-0.01546044
0500000US33015,33015,"Rockingham County, New Hampshire",0,Total for all sectors,2012,25554,1515512,0.045270078
0500000US33017,33017,"Strafford County, New Hampshire",0,Total for all sectors,2012,7702,346644,-0.010352014
0500000US33019,33019,"Sullivan County, New Hampshire",0,Total for all sectors,2012,3311,138976,0.019296637
0500000US44001,44001,"Bristol County, Rhode Island",0,Total for all sectors,2012,4216,199633,0.080159941
0500000US44003,44003,"Kent County, Rhode Island",0,Total for all sectors,2012,10953,500978,0.010922886
0500000US44005,44005,"Newport County, Rhode Island",0,Total for all sectors,2012,7294,360039,0.057852381
0500000US44007,44007,"Providence County, Rhode Island",0,Total for all sectors,2012,39638,1687746,0.018610546
0500000US44009,44009,"Washington County, Rhode Island",0,Total for all sectors,2012,11053,515680,0.033745886
0500000US50001,50001,"Addison County, Vermont",0,Total for all sectors,2012,3798,136589,-0.011471044
0500000US50003,50003,"Bennington County, Vermont",0,Total for all sectors,2012,3743,156644,0.060964624
0500000US50005,50005,"Caledonia County, Vermont",0,Total for all sectors,2012,2930,109978,-0.045048018
0500000US50007,50007,"Chittenden County, Vermont",0,Total for all sectors,2012,13617,650342,0.016006974
0500000US50009,50009,"Essex County, Vermont",0,Total for all sectors,2012,536,19896,-0.033799534
0500000US50011,50011,"Franklin County, Vermont",0,Total for all sectors,2012,3657,149734,-0.007042627
0500000US50013,50013,"Grand Isle County, Vermont",0,Total for all sectors,2012,736,30357,0.060099176
0500000US50015,50015,"Lamoille County, Vermont",0,Total for all sectors,2012,2746,109279,0.003544764
0500000US50017,50017,"Orange County, Vermont",0,Total for all sectors,2012,2948,104710,0.007999692
0500000US50019,50019,"Orleans County, Vermont",0,Total for all sectors,2012,2527,95667,0.062659676
